occurrence_class,ledger_id,path,line,blob,old_text,disposition,replacement_key,frozen_by_022,edit_in_place
MECHANISM_SUBSTITUTION_LABEL,C05b,artifacts/reports/E3C_MEASUREMENT_NOISE_MODEL.md,95,874c7eea426dc3faf3ebb82c42fd6be1f7713989,| `a000_i020` | SPATIAL_ONLY | primary geometry dependent | 2.000–49.94 | 140 | 8.77e+09 | 15.06 | 20 |,ALIAS_INDEX_PAIRED_SUBSTITUTION,alias_substitution,False,NO_OVERLAY_ONLY
MECHANISM_SUBSTITUTION_LABEL,C05b,artifacts/reports/E3C_MEASUREMENT_NOISE_MODEL.md,96,874c7eea426dc3faf3ebb82c42fd6be1f7713989,| `a000_i020` | SPATIAL_ONLY | common radial support | 2.000–49.94 | 140 | 8.77e+09 | 15.06 | 20 |,ALIAS_INDEX_PAIRED_SUBSTITUTION,alias_substitution,False,NO_OVERLAY_ONLY
MECHANISM_SUBSTITUTION_LABEL,C05b,artifacts/reports/E3C_MEASUREMENT_NOISE_MODEL.md,101,874c7eea426dc3faf3ebb82c42fd6be1f7713989,| `a050_i050` | DELAY_ONLY | primary geometry dependent | 1.866–49.98 | 214 | 7.83e+04 | 41.21 | 84 |,ALIAS_INDEX_PAIRED_SUBSTITUTION,alias_substitution,False,NO_OVERLAY_ONLY
MECHANISM_SUBSTITUTION_LABEL,C05b,artifacts/reports/E3C_MEASUREMENT_NOISE_MODEL.md,102,874c7eea426dc3faf3ebb82c42fd6be1f7713989,| `a050_i050` | DELAY_ONLY | common radial support | 2.000–49.94 | 216 | 5.33e+04 | 40.11 | 84 |,ALIAS_INDEX_PAIRED_SUBSTITUTION,alias_substitution,False,NO_OVERLAY_ONLY
MECHANISM_SUBSTITUTION_LABEL,C05b,artifacts/reports/E3C_MEASUREMENT_NOISE_MODEL.md,103,874c7eea426dc3faf3ebb82c42fd6be1f7713989,| `a050_i050` | SPATIAL_ONLY | primary geometry dependent | 1.866–49.98 | 177 | 1.20e+07 | 8.83 | 60 |,ALIAS_INDEX_PAIRED_SUBSTITUTION,alias_substitution,False,NO_OVERLAY_ONLY
MECHANISM_SUBSTITUTION_LABEL,C05b,artifacts/reports/E3C_MEASUREMENT_NOISE_MODEL.md,104,874c7eea426dc3faf3ebb82c42fd6be1f7713989,| `a050_i050` | SPATIAL_ONLY | common radial support | 2.000–49.94 | 182 | 7.60e+06 | 8.78 | 60 |,ALIAS_INDEX_PAIRED_SUBSTITUTION,alias_substitution,False,NO_OVERLAY_ONLY
MECHANISM_SUBSTITUTION_LABEL,C05b,artifacts/reports/E3C_MEASUREMENT_NOISE_MODEL.md,109,874c7eea426dc3faf3ebb82c42fd6be1f7713989,| `a098_i075` | DELAY_ONLY | primary geometry dependent | 1.200–49.98 | 193 | 8.51e+06 | 16.22 | 144 |,ALIAS_INDEX_PAIRED_SUBSTITUTION,alias_substitution,False,NO_OVERLAY_ONLY
MECHANISM_SUBSTITUTION_LABEL,C05b,artifacts/reports/E3C_MEASUREMENT_NOISE_MODEL.md,110,874c7eea426dc3faf3ebb82c42fd6be1f7713989,| `a098_i075` | DELAY_ONLY | common radial support | 2.000–49.94 | 193 | 4.59e+06 | 13.34 | 144 |,ALIAS_INDEX_PAIRED_SUBSTITUTION,alias_substitution,False,NO_OVERLAY_ONLY
MECHANISM_SUBSTITUTION_LABEL,C05b,artifacts/reports/E3C_MEASUREMENT_NOISE_MODEL.md,111,874c7eea426dc3faf3ebb82c42fd6be1f7713989,| `a098_i075` | SPATIAL_ONLY | primary geometry dependent | 1.200–49.98 | 207 | 6.49e+04 | 5.39 | 140 |,ALIAS_INDEX_PAIRED_SUBSTITUTION,alias_substitution,False,NO_OVERLAY_ONLY
MECHANISM_SUBSTITUTION_LABEL,C05b,artifacts/reports/E3C_MEASUREMENT_NOISE_MODEL.md,112,874c7eea426dc3faf3ebb82c42fd6be1f7713989,| `a098_i075` | SPATIAL_ONLY | common radial support | 2.000–49.94 | 205 | 8.93e+04 | 5.02 | 140 |,ALIAS_INDEX_PAIRED_SUBSTITUTION,alias_substitution,False,NO_OVERLAY_ONLY
MECHANISM_SUBSTITUTION_LABEL,C05b,artifacts/reports/E3C_MECHANISM_DECOMPOSITION.md,22,03f0c6d834ba73cdb902594325fcc4f718ee2f65,* `DELAY_ONLY` keeps each order's physical per-ray delays and replaces its,ALIAS_INDEX_PAIRED_SUBSTITUTION,alias_substitution,False,NO_OVERLAY_ONLY
MECHANISM_SUBSTITUTION_LABEL,C05b,artifacts/reports/E3C_MECHANISM_DECOMPOSITION.md,24,03f0c6d834ba73cdb902594325fcc4f718ee2f65,* `SPATIAL_ONLY` keeps each order's physical spatial mapping and flattens every,ALIAS_INDEX_PAIRED_SUBSTITUTION,alias_substitution,False,NO_OVERLAY_ONLY
MECHANISM_SUBSTITUTION_LABEL,C05b,artifacts/reports/E3C_MECHANISM_DECOMPOSITION.md,65,03f0c6d834ba73cdb902594325fcc4f718ee2f65,registered localized probe is spatially flat. `DELAY_ONLY` changes only where,ALIAS_INDEX_PAIRED_SUBSTITUTION,alias_substitution,False,NO_OVERLAY_ONLY
MECHANISM_SUBSTITUTION_LABEL,C05b,artifacts/reports/E3D_SOURCE_CLASS_STRESS.md,83,79b93e938cd6e8846dd38f962122f400345fc8cb,| `DELAY_ONLY` | 224 | 448 | 528 | 1056 |,ALIAS_INDEX_PAIRED_SUBSTITUTION,alias_substitution,False,NO_OVERLAY_ONLY
MECHANISM_SUBSTITUTION_LABEL,C05b,artifacts/reports/E3D_SOURCE_CLASS_STRESS.md,84,79b93e938cd6e8846dd38f962122f400345fc8cb,| `SPATIAL_ONLY` | 224 | **357** (−91) | 528 | **828** (−228) |,ALIAS_INDEX_PAIRED_SUBSTITUTION,alias_substitution,False,NO_OVERLAY_ONLY
INDEX_SUM_ARM_LABEL,C05a,artifacts/reports/E3D_SOURCE_CLASS_STRESS.md,85,79b93e938cd6e8846dd38f962122f400345fc8cb,| `UNRESOLVED_IMAGE` | 224 | 448 | 528 | **1028** (−28) |,ALIAS_INDEX_SUM_CONTROL,alias_index_sum,False,NO_OVERLAY_ONLY
MECHANISM_SUBSTITUTION_LABEL,C05b,artifacts/reports/E3D_SOURCE_CLASS_STRESS.md,94,79b93e938cd6e8846dd38f962122f400345fc8cb,| `DELAY_ONLY` | 224 | 448 | 528 | 1056 |,ALIAS_INDEX_PAIRED_SUBSTITUTION,alias_substitution,False,NO_OVERLAY_ONLY
MECHANISM_SUBSTITUTION_LABEL,C05b,artifacts/reports/E3D_SOURCE_CLASS_STRESS.md,95,79b93e938cd6e8846dd38f962122f400345fc8cb,| `SPATIAL_ONLY` | 224 | **425** (−23) | 528 | **996** (−60) |,ALIAS_INDEX_PAIRED_SUBSTITUTION,alias_substitution,False,NO_OVERLAY_ONLY
INDEX_SUM_ARM_LABEL,C05a,artifacts/reports/E3D_SOURCE_CLASS_STRESS.md,96,79b93e938cd6e8846dd38f962122f400345fc8cb,| `UNRESOLVED_IMAGE` | 224 | 448 | 528 | **1042** (−14) |,ALIAS_INDEX_SUM_CONTROL,alias_index_sum,False,NO_OVERLAY_ONLY
MECHANISM_SUBSTITUTION_LABEL,C05b,artifacts/reports/E3D_SOURCE_CLASS_STRESS.md,105,79b93e938cd6e8846dd38f962122f400345fc8cb,| `DELAY_ONLY` | 224 | **447** (−1) | 528 | **1020** (−36) |,ALIAS_INDEX_PAIRED_SUBSTITUTION,alias_substitution,False,NO_OVERLAY_ONLY
MECHANISM_SUBSTITUTION_LABEL,C05b,artifacts/reports/E3D_SOURCE_CLASS_STRESS.md,106,79b93e938cd6e8846dd38f962122f400345fc8cb,| `SPATIAL_ONLY` | 224 | 448 | 528 | 1056 |,ALIAS_INDEX_PAIRED_SUBSTITUTION,alias_substitution,False,NO_OVERLAY_ONLY
INDEX_SUM_ARM_LABEL,C05a,artifacts/reports/E3D_SOURCE_CLASS_STRESS.md,107,79b93e938cd6e8846dd38f962122f400345fc8cb,| `UNRESOLVED_IMAGE` | 224 | **447** (−1) | 528 | **1021** (−35) |,ALIAS_INDEX_SUM_CONTROL,alias_index_sum,False,NO_OVERLAY_ONLY
MECHANISM_SUBSTITUTION_LABEL,C05b,artifacts/reports/E3D_SOURCE_CLASS_STRESS.md,122,79b93e938cd6e8846dd38f962122f400345fc8cb,| `a000_i020` | `C1056_ST` | `SPATIAL_ONLY` | 828 / 1056 | 228 | 1.031e-07 |,ALIAS_INDEX_PAIRED_SUBSTITUTION,alias_substitution,False,NO_OVERLAY_ONLY
INDEX_SUM_ARM_LABEL,C05a,artifacts/reports/E3D_SOURCE_CLASS_STRESS.md,123,79b93e938cd6e8846dd38f962122f400345fc8cb,| `a000_i020` | `C1056_ST` | `UNRESOLVED_IMAGE` | 1028 / 1056 | 28 | 3.439e-08 |,ALIAS_INDEX_SUM_CONTROL,alias_index_sum,False,NO_OVERLAY_ONLY
MECHANISM_SUBSTITUTION_LABEL,C05b,artifacts/reports/E3D_SOURCE_CLASS_STRESS.md,125,79b93e938cd6e8846dd38f962122f400345fc8cb,| `a000_i020` | `C448_T` | `SPATIAL_ONLY` | 357 / 448 | 91 | 9.802e-08 |,ALIAS_INDEX_PAIRED_SUBSTITUTION,alias_substitution,False,NO_OVERLAY_ONLY
MECHANISM_SUBSTITUTION_LABEL,C05b,artifacts/reports/E3D_SOURCE_CLASS_STRESS.md,130,79b93e938cd6e8846dd38f962122f400345fc8cb,| `a050_i050` | `C1056_ST` | `SPATIAL_ONLY` | 996 / 1056 | 60 | 1.074e-07 |,ALIAS_INDEX_PAIRED_SUBSTITUTION,alias_substitution,False,NO_OVERLAY_ONLY
INDEX_SUM_ARM_LABEL,C05a,artifacts/reports/E3D_SOURCE_CLASS_STRESS.md,131,79b93e938cd6e8846dd38f962122f400345fc8cb,| `a050_i050` | `C1056_ST` | `UNRESOLVED_IMAGE` | 1042 / 1056 | 14 | 3.556e-08 |,ALIAS_INDEX_SUM_CONTROL,alias_index_sum,False,NO_OVERLAY_ONLY
MECHANISM_SUBSTITUTION_LABEL,C05b,artifacts/reports/E3D_SOURCE_CLASS_STRESS.md,133,79b93e938cd6e8846dd38f962122f400345fc8cb,| `a050_i050` | `C448_T` | `SPATIAL_ONLY` | 425 / 448 | 23 | 1.141e-07 |,ALIAS_INDEX_PAIRED_SUBSTITUTION,alias_substitution,False,NO_OVERLAY_ONLY
MECHANISM_SUBSTITUTION_LABEL,C05b,artifacts/reports/E3D_SOURCE_CLASS_STRESS.md,134,79b93e938cd6e8846dd38f962122f400345fc8cb,| `a098_i075` | `C1056_ST` | `DELAY_ONLY` | 1020 / 1056 | 36 | 1.286e-07 |,ALIAS_INDEX_PAIRED_SUBSTITUTION,alias_substitution,False,NO_OVERLAY_ONLY
INDEX_SUM_ARM_LABEL,C05a,artifacts/reports/E3D_SOURCE_CLASS_STRESS.md,138,79b93e938cd6e8846dd38f962122f400345fc8cb,| `a098_i075` | `C1056_ST` | `UNRESOLVED_IMAGE` | 1021 / 1056 | 35 | 4.981e-08 |,ALIAS_INDEX_SUM_CONTROL,alias_index_sum,False,NO_OVERLAY_ONLY
MECHANISM_SUBSTITUTION_LABEL,C05b,artifacts/reports/E3D_SOURCE_CLASS_STRESS.md,139,79b93e938cd6e8846dd38f962122f400345fc8cb,| `a098_i075` | `C448_T` | `DELAY_ONLY` | 447 / 448 | 1 | 2.556e-07 |,ALIAS_INDEX_PAIRED_SUBSTITUTION,alias_substitution,False,NO_OVERLAY_ONLY
INDEX_SUM_ARM_LABEL,C05a,artifacts/reports/E3D_SOURCE_CLASS_STRESS.md,143,79b93e938cd6e8846dd38f962122f400345fc8cb,| `a098_i075` | `C448_T` | `UNRESOLVED_IMAGE` | 447 / 448 | 1 | 1.112e-07 |,ALIAS_INDEX_SUM_CONTROL,alias_index_sum,False,NO_OVERLAY_ONLY
MECHANISM_SUBSTITUTION_LABEL,C05b,artifacts/reports/E3D_SOURCE_CLASS_STRESS.md,153,79b93e938cd6e8846dd38f962122f400345fc8cb,* `DELAY_ONLY` — 1 of 3 anchors: `a098_i075` 447/448 (nullity 1),ALIAS_INDEX_PAIRED_SUBSTITUTION,alias_substitution,False,NO_OVERLAY_ONLY
MECHANISM_SUBSTITUTION_LABEL,C05b,artifacts/reports/E3D_SOURCE_CLASS_STRESS.md,154,79b93e938cd6e8846dd38f962122f400345fc8cb,"* `SPATIAL_ONLY` — 2 of 3 anchors: `a000_i020` 357/448 (nullity 91), `a050_i050` 425/448 (nullity 23)",ALIAS_INDEX_PAIRED_SUBSTITUTION,alias_substitution,False,NO_OVERLAY_ONLY
INDEX_SUM_ARM_LABEL,C05a,artifacts/reports/E3D_SOURCE_CLASS_STRESS.md,155,79b93e938cd6e8846dd38f962122f400345fc8cb,* `UNRESOLVED_IMAGE` — 1 of 3 anchors: `a098_i075` 447/448 (nullity 1),ALIAS_INDEX_SUM_CONTROL,alias_index_sum,False,NO_OVERLAY_ONLY
MECHANISM_SUBSTITUTION_LABEL,C05b,artifacts/reports/E3D_SOURCE_CLASS_STRESS.md,173,79b93e938cd6e8846dd38f962122f400345fc8cb,* `DELAY_ONLY` — 1 of 3 anchors: `a098_i075` 1020/1056 (nullity 36),ALIAS_INDEX_PAIRED_SUBSTITUTION,alias_substitution,False,NO_OVERLAY_ONLY
MECHANISM_SUBSTITUTION_LABEL,C05b,artifacts/reports/E3D_SOURCE_CLASS_STRESS.md,174,79b93e938cd6e8846dd38f962122f400345fc8cb,"* `SPATIAL_ONLY` — 2 of 3 anchors: `a000_i020` 828/1056 (nullity 228), `a050_i050` 996/1056 (nullity 60)",ALIAS_INDEX_PAIRED_SUBSTITUTION,alias_substitution,False,NO_OVERLAY_ONLY
INDEX_SUM_ARM_LABEL,C05a,artifacts/reports/E3D_SOURCE_CLASS_STRESS.md,175,79b93e938cd6e8846dd38f962122f400345fc8cb,"* `UNRESOLVED_IMAGE` — 3 of 3 anchors: `a000_i020` 1028/1056 (nullity 28), `a050_i050` 1042/1056 (nullity 14), `a098_i075` 1021/1056 (nullity 35)",ALIAS_INDEX_SUM_CONTROL,alias_index_sum,False,NO_OVERLAY_ONLY
MECHANISM_SUBSTITUTION_LABEL,C05b,artifacts/reports/E3D_SOURCE_CLASS_STRESS.md,182,79b93e938cd6e8846dd38f962122f400345fc8cb,`DELAY_ONLY` is rank-deficient in 2 of the 12,ALIAS_INDEX_PAIRED_SUBSTITUTION,alias_substitution,False,NO_OVERLAY_ONLY
MECHANISM_SUBSTITUTION_LABEL,C05b,artifacts/reports/E3D_SOURCE_CLASS_STRESS.md,187,79b93e938cd6e8846dd38f962122f400345fc8cb,"spatial map onto every order is not a strict impoverishment, so `DELAY_ONLY`",ALIAS_INDEX_PAIRED_SUBSTITUTION,alias_substitution,False,NO_OVERLAY_ONLY
